a,b,c,d,e,f,g,h,i
34112,35437,22574,77772,10056,7844,1495,1836,0
991269,33366,21323,26933,10943,11173,2940,3906,1
72359,19850,6120,8082,2848,2236,590,692,0
75879,6882,12831,3210,3933,2775,889,644,1
989640,62273,42331,59717,76264,26511,5989,3555,1
98173,38311,8348,7586,8764,4540,1887,1358,1
1629294,135538,24977,36066,50973,13368,6955,2818,1
24120,45572,16149,9924,10647,6660,8355,2575,1
166340,7614,2930,1579,7230,2156,975,513,1
1485036,137171,35303,86347,42206,12520,9279,7409,1
408255,105004,13355,10075,15455,5103,2632,603,1
37577,21557,26090,7917,9846,5518,4237,6047,0
11181,31915,7966,68680,7869,8545,4231,3579,0
227272,106104,4680,147105,34959,17564,6112,2559,0
46201,81685,23727,6562,14562,6012,3014,1339,0
13683,20189,45329,31034,22030,5702,2528,1009,0
101283,42579,23961,7275,2105,2401,1468,927,1
13187,79908,18468,63016,16732,14034,3585,2039,0
596143,92315,16484,23242,40703,13425,4498,3238,0
558445,745113,48441,39865,47554,27408,9219,5967,0
3580,27031,12976,10223,9548,10334,3492,1341,1
316207,56579,80184,15829,27808,13860,10075,3478,0
428658,120049,7976,41396,18230,13623,4046,2610,1
436444,70456,53498,59073,6438,22771,3878,5294,0
9540,3984,27536,23799,8112,11625,3731,2184,0
13923,26270,67301,9529,13566,17836,5880,1770,0
95823,27920,1515,10528,463,2103,818,327,1
55370,41205,2520,4872,10363,11948,3047,871,0
6223,64786,23460,21533,9580,2795,3734,3040,0
20805,17298,7389,15673,36409,4609,2599,2435,1
109083,20156,4268,17734,4375,4409,3160,3244,0
35406,14643,40113,15009,8737,3161,3666,3114,1
556035,20639,6996,4189,8188,6758,3878,1737,1
572774,102295,36962,60162,20127,19763,9153,2245,0
107419,26957,27049,14647,15983,17969,10930,5962,1
29500,9584,7438,5632,3176,7186,2706,1732,1
448536,38548,5194,4662,14732,9042,3121,1064,1
144066,46152,4481,5959,6010,3104,1707,750,0
57069,32839,5441,30930,5096,8282,3883,7611,0
60706,61299,4837,9895,12779,8945,2518,2166,1
445969,259034,85453,76649,41593,26306,9513,5113,1
106748,17208,101393,56686,19521,3811,1715,3477,0
31069,25024,36810,26390,12666,11988,4132,2426,0
243317,42921,12279,4833,20589,18710,11888,2828,0
11789,26391,11622,22134,19229,7708,1204,1162,1
104741,26947,27481,13229,21774,7881,4843,6036,0
158862,81542,7411,21254,20022,21104,4231,3433,1
34232,39822,45711,39571,16488,9407,2723,4687,0
1248710,195518,167936,30544,86564,53758,26945,7271,1
50143,114911,40018,6750,5186,12059,1279,2675,0
556310,78999,34254,99854,44466,17248,3886,2753,1
17887,19696,16977,27882,12808,13948,2654,2171,1
36802,19474,5584,23258,16846,4332,1476,1828,1
62450,34162,31422,39586,7434,8946,3491,2888,0
20569,23158,75026,87020,14074,6924,7851,2513,0
1465749,134615,69534,33053,37252,16973,10813,3494,1
1806572,244491,57574,41847,18856,28235,7659,2959,1
1526162,164866,37674,30996,30412,20168,30019,6949,1
1072960,17288,16906,11660,16084,8820,2394,2450,1
217653,88575,17456,49704,18693,11183,3944,1888,1
3163423,198673,55196,160460,164515,58340,11750,7765,1
641808,132318,109005,24695,17186,9970,9190,2576,1
431059,120693,60231,43793,18600,16740,5900,4625,1
35428,100330,25786,3762,13834,5036,2432,1261,1
263996,63196,3028,41450,22062,8151,3476,2945,0
7211,13109,13348,4321,11957,5533,2036,1814,0
47404,41541,9272,22638,11492,7282,3210,3152,1
25136,9968,1625,6606,14883,3830,1458,1495,1
309746,17324,2513,1895,1895,1141,887,765,1
40696,35677,10146,1912,3498,1846,1694,683,1
23992,84801,8313,39024,15032,5249,3218,1705,1
204373,73636,21760,61591,46150,22235,4227,1034,1
1251735,219484,199834,34908,43822,16502,19712,6255,1
287033,10975,23340,16818,11764,3735,763,276,0
137471,29314,16126,6143,8608,3593,745,1150,0
441538,67494,12277,6997,10623,6141,2314,2054,0
269938,40006,39005,19241,32503,10544,7854,3198,1
690653,39700,27151,22225,24453,9152,2262,2568,0
70935,47639,18997,9191,16018,13450,6508,1432,1
286578,82303,10749,18915,10659,10215,4092,6780,1
